shadow_order_id,created_ts,strategy_id,ticker,event_ticker,category,side,action,maker_or_taker,intended_price_cents,assumed_fill_price_cents,size_contracts,fees_assumed_dollars,slippage_assumed_dollars,rules_text_hash,rules_pointer,resolution_pointer,status,resolved_ts,resolved_payout_dollars,realized_pnl_dollars,notes
shadow-26FEB26_fullslate_auto-KXBTC-26FEB2621-B67375,2026-02-27T01:41:39.682118+00:00,,KXBTC-26FEB2621-B67375,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,48,48,1,0.0,0.0,,,,filled,,,,p_true=0.500000;fill_trade_id=95564225-c4e7-7c74-e014-3e3f6f749232;fill_count_seen=1
shadow-26FEB26_fullslate_auto-KXBTC-26FEB2621-B66875,2026-02-27T01:41:39.965508+00:00,,KXBTC-26FEB2621-B66875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,6,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:42:12.839076+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto-KXBTC-26FEB2621-B67875,2026-02-27T01:41:40.122790+00:00,,KXBTC-26FEB2621-B67875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,12,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:42:12.848226+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:liquidity_guard_failed;station_id=None
shadow-26FEB26_fullslate_auto-KXBTC-26FEB2621-B66625,2026-02-27T01:41:40.217428+00:00,,KXBTC-26FEB2621-B66625,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,1,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:42:12.857095+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto-KXBTC-26FEB2621-B68125,2026-02-27T01:41:40.311250+00:00,,KXBTC-26FEB2621-B68125,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,5,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:42:12.866493+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto-KXBTC-26FEB2621-B66375,2026-02-27T01:41:40.399969+00:00,,KXBTC-26FEB2621-B66375,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,1,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:42:12.875397+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto-KXBTC-26FEB2621-B68375,2026-02-27T01:41:40.489714+00:00,,KXBTC-26FEB2621-B68375,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:42:12.884946+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto-KXBTC-26FEB2621-B66125,2026-02-27T01:41:40.576763+00:00,,KXBTC-26FEB2621-B66125,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,5,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:42:12.895119+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto-KXBTC-26FEB2621-B68625,2026-02-27T01:41:40.667671+00:00,,KXBTC-26FEB2621-B68625,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:42:12.905061+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto-KXBTC-26FEB2621-B65875,2026-02-27T01:41:40.760749+00:00,,KXBTC-26FEB2621-B65875,KXBTC-26FEB2621,Crypto,yes,post_yes,maker,1,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:42:12.914578+00:00,0.000000,0.000000,p_true=0.500000;edge_gone:maker_ceiling_below_min;station_id=None
shadow-26FEB26_fullslate_auto-KXHIGHNY-26FEB26-B36.5,2026-02-27T01:41:42.689260+00:00,,KXHIGHNY-26FEB26-B36.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:42:12.923352+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_auto-KXHIGHNY-26FEB26-B38.5,2026-02-27T01:41:42.778836+00:00,,KXHIGHNY-26FEB26-B38.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:42:12.923369+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
shadow-26FEB26_fullslate_auto-KXHIGHNY-26FEB26-B40.5,2026-02-27T01:41:42.866576+00:00,,KXHIGHNY-26FEB26-B40.5,KXHIGHNY-26FEB26,Climate and Weather,yes,post_yes,maker,50,,1,0.0,0.0,,,,closed_unfilled,2026-02-27T01:42:12.923377+00:00,0.000000,0.000000,p_true=0.005000;edge_gone:model_eval_failed;station_id=
